Ship,Start Destination,End Destination,Year,Start Lat,Start Long,,,,,,,,,,,,
Crown Princess,Los Angeles,California,2014,33.7405,-118.2786,,,,,,,,,,,,
Crown Princess,Los Angeles,California,2014,33.7405,-118.2786,,,,,,,,,,,,
Grandeur of the Seas,Baltimore,Bahamas,2014,39.2876,-76.6108,,,,,,,,,,,,
Grandeur of the Seas,Baltimore,Bahamas,2014,39.2876,-76.6108,,,,,,,,,,,,
ms Maasdam,Rio de Janeiro,Fort Lauderdale,2014,-22.8955,-43.1822,,,,,,,,,,,,
ms Veendam,San Diego,Fort Lauderdale,2014,32.7157,-117.1611,,,,,,,,,,,,
Caribbean Princess,Houston TX,Caribbean,2014,29.7499,-95.3594,,,,,,,,,,,,
Explorer of the Seas,NYC (Cape Liberty/Bayonne NJ),Caribbean,2014,40.6687,-74.1118,,,,,,,,,,,,
NCL-Norwegian Star,LA,Mexican Riviera,2014,33.7405,-118.2786,,,,,,,,,,,,
ms Veendam,San Diego,San Diego,2015,32.7157,-117.1611,,,,,,,,,,,,
Caribbean Princess,Houston Texas,Houston Texas,2015,29.7499,-95.3594,,,,,,,,,,,,
Oceania Riviera,Barcelona,Miami FL,2015,41.3809,2.1228,,,,,,,,,,,,
Star Princess,San Francisco,Hawaii,2015,37.7749,-122.4194,,,,,,,,,,,,
Oceania Marina,Callao Peru,New York City,2015,-12.056,-77.1183,,,,,,,,,,,,
ms Maasdam,Fort Lauderdale,Caribbean,2015,26.1224,-80.1373,,,,,,,,,,,,
Coral Princess,Fort Lauderdale,Los Angeles,2015,26.1224,-80.1373,,,,,,,,,,,,
Legend of the Seas/Marella Discovery 2,Fort Lauderdale,San Diego,2015,26.1224,-80.1373,,,,,,,,,,,,
Celebrity Infinity,Fort Lauderdale,San Diego,2015,26.1224,-80.1373,,,,,,,,,,,,
Celebrity Equinox,Fort Lauderdale,Caribbean,2015,26.1224,-80.1373,,,,,,,,,,,,
Grandeur of the Seas,Baltimore,Florida and Bahamas,2015,39.2876,-76.6108,,,,,,,,,,,,
MS Oosterdam,Rome-Civitavecchia,Tampa Florida,2016,42.0932,11.7967,,,,,,,,,,,,
Adonia/Azamara Pursuit,Miami,Cuba,2016,25.7617,-80.1918,,,,,,,,,,,,
Disney Wonder,Miami,Bahamas,2016,25.7617,-80.1918,,,,,,,,,,,,
Fred Olsen Balmoral,Southampton (England UK),Southampton (England UK),2016,50.9097,-1.4044,,,,,,,,,,,,
Oceania Riviera,Miami,Caribbean,2016,25.7617,-80.1918,,,,,,,,,,,,
NCL Norwegian Gem,NYC,Caribbean,2016,40.7128,-74.006,,,,,,,,,,,,
Silver Spirit,Valparaiso-Santiago,Fort Lauderdale,2016,-33.0472,-71.6127,,,,,,,,,,,,
Carnival Sunshine,Port Canaveral,Caribbean,2016,28.3922,-80.6188,,,,,,,,,,,,
Anthem of the Seas,"Cape Liberty (New Jersey, NYC)",Caribbean,2016,40.6687,-74.1118,,,,,,,,,,,,
Ocean Princess/Oceania Sirena,Valparaiso,Miami,2016,-33.0472,-71.6127,,,,,,,,,,,,
Oceania Riviera,Miami,Miami,2016,25.7617,-80.1918,,,,,,,,,,,,
Oceania Riviera,Miami,Miami,2016,25.7617,-80.1918,,,,,,,,,,,,
Crown Princess,Los Angeles,Los Angeles,2016,33.7405,-118.2786,,,,,,,,,,,,
Independence Of The Seas,Fort Lauderdale,Caribbean,2017,26.1224,-80.1373,,,,,,,,,,,,
Celebrity Reflection,Fort Lauderdale,Caribbean,2017,26.1224,-80.1373,,,,,,,,,,,,
Crown Princess,Quebec City,Fort Lauderdale,2017,46.8139,-71.2082,,,,,,,,,,,,
MS Noordam,Vancouver,Seward,2017,49.2827,-123.1207,,,,,,,,,,,,
MS Noordam,Seward,Vancouver,2017,60.1042,-149.4422,,,,,,,,,,,,
MS Nieuw Amsterdam,Vancouver,Alaska,2017,49.2827,-123.1207,,,,,,,,,,,,
MS Volendam,Vancouver,Alaska,2017,49.2827,-123.1207,,,,,,,,,,,,
MS Volendam,Vancouver,Alaska,2017,49.2827,-123.1207,,,,,,,,,,,,
Coral Princess,Fort Lauderdale,Fort Lauderdale,2017,26.1224,-80.1373,,,,,,,,,,,,
Crystal Symphony,Fort Lauderdale,Fort Lauderdale,2018,26.1224,-80.1373,,,,,,,,,,,,
MS Volendam,San Diego,Fort Lauderdale,2018,32.7157,-117.1611,,,,,,,,,,,,
Pearl Mist,Chicago,Toronto,2018,41.8781,-87.6298,,,,,,,,,,,,
Regent Seven Seas Mariner,Seward AK,Vancouver BC,2018,60.1042,-149.4422,,,,,,,,,,,,
MS Zaandam,Seattle WA,Alaska,2018,47.6062,-122.3321,,,,,,,,,,,,
Silversea Silver Shadow,Tokyo,Seward AK,2018,35.6895,139.6917,,,,,,,,,,,,
Celebrity Infinity,San Diego,Fort Lauderdale,2018,32.7157,-117.1611,,,,,,,,,,,,
Cunard Queen Victoria,Valparaiso-Santiago,Fort Lauderdale,2018,-33.0472,-71.6127,,,,,,,,,,,,
Azamara Quest,Puntarenas Costa Rica,San Diego,2018,9.9765,-84.8384,,,,,,,,,,,,
Island Princess,Los Angeles,Fort Lauderdale,2018,33.7405,-118.2786,,,,,,,,,,,,
NCL Norwegian Joy,Miami,Los Angeles,2019,25.7617,-80.1918,,,,,,,,,,,,
AIDAdiva,Montreal,NYC,2019,45.5017,-73.5673,,,,,,,,,,,,
AIDAluna,NYC,Caribbean,2019,40.7128,-74.006,,,,,,,,,,,,
Carnival Conquest,Miami,Caribbean,2019,25.7617,-80.1918,,,,,,,,,,,,
AIDAdiva,Rostock,NYC,2019,54.0924,12.0991,,,,,,,,,,,,
Oceania Marina,Callao-Lima,NYC,2019,-12.056,-77.1183,,,,,,,,,,,,
Island Princess,Fort Lauderdale,Panama Canal,2019,26.1224,-80.1373,,,,,,,,,,,,
Viking Star,Miami,Cuba,2019,25.7617,-80.1918,,,,,,,,,,,,
Viking Sea,San Juan Puerto Rico,Caribbean,2019,18.4655,-66.1057,,,,,,,,,,,,
Oasis Of The Seas,Port Canaveral,Caribbean,2019,28.3922,-80.6188,,,,,,,,,,,,
Viking Star,Los Angeles,Miami,2019,33.7405,-118.2786,,,,,,,,,,,,
